sr_no,brief_description_of_story,location,state,amount_rs,source,date,investigating_authority,link,1
39,"Tax dept seizes 75 kgs of gold, Rs 8 crore in new currency & Rs 60 crore in old notes",Chennai,Tamil Nadu,80000000,CNBCTV18,2016-12-08,Income Tax Dept,https://twitter.com/CNBCTV18Live/status/806831677162913792,2016-12-08
40,Police Raids...  Seize new currency,Kalburgi,Karnataka,2500000.0,TV9KannadaNews,2016-12-08,State Police,https://twitter.com/Tv9kannadanews/status/806903671803916288,2016-12-08
41,"Karnataka: 100,50 and 2000 notes worth Rs 15 lakhs seized from six people.",Chitradurga,Karnataka,1500000.0,ANI News,2016-12-08,State Police,https://twitter.com/ANI_news/status/806909494898757633,2016-12-08
42,CBI arrests two in connection with seizure of Rs 5.63 crore in new currency notes,New Delhi,New Delhi,56300000,Times of India,2016-12-05,CBI,http://timesofindia.indiatimes.com/city/bengaluru/CBI-arrests-two-in-connection-with-seizure-of-Rs-5-63-crore-in-new-currency-notes/articleshow/55814934.cms?utm_source=toimobile&utm_medium=Twitter&utm_campaign=referral,2016-12-05
43,Raichur: New currency - 25 lakhs seized from car,Raichur,Karnataka,2500000.0,India TV,2016-12-08,State Police,https://youtu.be/JNE1l9iI2wA?t=127,2016-12-08
44,Four people arrested in Surat with notes of Rs 2000 worth 76 lakhs,Surat,Gujarat,7600000.0,Hindustan Times,2016-12-09,State Police,http://www.hindustantimes.com/india-news/gujarat-police-seize-rs-76-lakh-in-new-rs-2000-notes/story-1KQMxOW1YSrgSExdhcCXAO.html,2016-12-09
45,"2 detained by @MumbaiPolice #CrimeBranch from #Dadar with ₹85 lakhs new currency","Dadar, Mumbai",Maharashtra,7200000.0,Twitter,2016-12-09,State Police,https://twitter.com/LedeInd/status/807148583124275200,2016-12-09
46,Crime Branch seized new notes worth Rs 10 lakh (approx) during search op,Gurugram,Haryana,1000000.0,ANI News,2016-12-09,State Police,https://twitter.com/ANI_news/status/807155016976826368,2016-12-09
47,New currency notes worth 18 lac seized by Police. One person taken into custody.,Jabalpur,Madhya Pradesh,1800000.0,Twitter,2016-12-09,State Police,https://twitter.com/NeerShrivastava/status/807159296605700096,2016-12-09
48,2 persons arrested by police... new currency... near Ranavav,Porbandar,Gujarat,2146000.0,Gujarat Headline,2016-12-08,State Police,http://www.gujaratheadline.com/porbandar-two-persons-arrested-by-police-with-new-currency-notes-worth-rs-25-lakhs-from-ranavav/,2016-12-08
49,"In 100-Crore Cash Raid, Man Who Took Prasad For Jayalalithaa To Hospital [41]",Chennai,Tamil Nadu,100000000,NDTV,2016-12-09,Income Tax Dept,http://www.ndtv.com/tamil-nadu-news/100-crores-in-cash-125-kilos-of-gold-and-a-man-known-to-aiadmk-leaders-1636019,2016-12-09
50,"Income Tax department seizes Rs 24 crore cash in new currency from Vellore, reports PTI",Vellore,Tamil Nadu,240000000,Times of India,2016-12-10,Income Tax Dept,https://twitter.com/timesofindia/status/807473222035722241,2016-12-10
51,Jaipur: Two arrested with 16 lakh in new currency,Jaipur,Rajasthan,1600000.0,India TV,2016-12-10,State Police,https://youtu.be/9wUXkrQusIY?t=121,2016-12-10
52,CBI recovers Rs 70 lakh in new currency ... in raids on postal official's kin,Hyderabad,Telangana,7000000.0,ABP News,2016-12-10,CBI,https://twitter.com/abpnewstv/status/807501786848247808,2016-12-10
53,Rs 5.7 cr in new notes from 'secret bathroom chamber'-  K'taka,Chitradurga,Karnataka,57000000,PTI,2016-12-10,Income Tax Dept,https://twitter.com/PTI_News/status/807549015260696576,2016-12-10
54,"Income Tax department seize Rs 7,20,000 in new Rs 2000 currency notes from Bhilwara",Bhilwara,Rajasthan,720000.0,ANI News,2016-12-10,Income Tax Dept,https://twitter.com/ANI_news/status/807500967524507650,2016-12-10
55,"4 nabbed with Rs. 21 lakh, 6,000 from Manekbaug area of the city.",Ahmedabad,Gujarat,2106000.0,TV9Gujarat,2016-12-10,TBD,https://twitter.com/tv9gujarati/status/807547345722187776,2016-12-10
56,"Police seize ...2 persons, allegedly involved in money exchange for commission, held",Kothur,Telangana,8200000.0,PTI,2016-12-10,State Police,https://twitter.com/PTI_News/status/807591453442441217,2016-12-10
57,"13 Crores Seized In Raid On Law Firm In South Delhi, Rs. 2 Crore In New Notes ",New Delhi,New Delhi,26000000,NDTV,2016-12-10,State Police,http://www.ndtv.com/delhi-news/rs-2-5-crore-in-new-notes-among-rs-10-crore-seized-from-delhi-law-firm-1636466,2016-12-10
58,Rs 14.51 lakh cash seized from house of financier in Bharuch,Bharuch,Gujarat,1402000.0,Indian Express,2016-12-11,State Police,http://indianexpress.com/article/india/gujarat-rs-14-51-lakh-cash-seized-from-house-of-financier-in-bharuch-4421165/,2016-12-11
59,Police arrest two realtors with Rs 22 lakh in new currency,Mysuru,Karnataka,2200000.0,Times of India,2016-12-11,State Police,http://timesofindia.indiatimes.com/city/mysuru/Police-arrest-two-realtors-with-Rs-22-lakh-in-new-currency/articleshow/55916648.cms?utm_source=dlvr.it&utm_medium=twitter,2016-12-11
60,"Rs 32 lakh in new currency seized in Telangana, Andhra",Ramayampet,Telangana,1600000.0,ABP News,2016-12-11,State Police,http://www.abplive.in/india-news/rs-32-lakh-in-new-currency-seized-in-telangana-andhra-461894,
61,"Rs 32 lakh in new currency seized in Telangana, Andhra",Vijaywada,Andhra Pradesh,1800000.0,ABP News,2016-12-11,State Police,http://www.abplive.in/india-news/rs-32-lakh-in-new-currency-seized-in-telangana-andhra-461894,
62,Rs 10 lakh in new notes found in doctor's chamber during ED raid,Kolkata,West Bengal,1000000.0,Times of India,2016-12-01,Enforcement Directorate,http://timesofindia.indiatimes.com/city/kolkata/Rs-10-lakh-in-new-notes-found-in-docs-chamber-during-ED-raid/articleshow/55717087.cms,
63,Notes of 2000 worth 2.5 crore seized in Nashik,Nashik,Maharashtra,25000000,Lokmat,2016-12-12,Enforcement Directorate,http://www.lokmat.com/storypage.php?catid=1&newsid=18537029,
64,"Rs 1.38 cr new currency notes, 2 kg gold seized by an IT team from a co-operative bank",Jaipur,Rajasthan,13800000,ABP News,2016-12-12,Income Tax Dept,https://twitter.com/abpnewstv/status/808212733418086400,
,"Raids by IT in Rajasthan, 138 crore new notes seized from coop bank",,,,Amar Ujala,,,http://www.amarujala.com/rajasthan/income-tax-department-seized-156-56-crore-in-jaipur,
,I-T raid at bank unearths undeclared Rs 156 crore; Rs 138 crore in new currency,,,,NewsX,,,http://www.newsx.com/national/49214-rs-156-crore-unearthed-from-a-bank-rs-138-crore-in-new-currency,
